Date,Symbol,Open,High,Low,Close,Volume,,,
08-01-2010,NESTLEIND,2555,2575,2475.2,2494.65,648,,,
11-01-2010,NESTLEIND,2401,2515,2400,2498.95,825,,,
12-01-2010,NESTLEIND,2540,2540,2471.35,2502.85,68346,,,
13-01-2010,NESTLEIND,2502.85,2540,2480,2489.35,1032,,,min
14-01-2010,NESTLEIND,2535,2595,2470,2568.2,330361,,,2475.2
15-01-2010,NESTLEIND,2580,2580,2500.05,2513.5,8229,,,
18-01-2010,NESTLEIND,2574,2574,2514,2536.15,883,,,
19-01-2010,NESTLEIND,2567,2570,2531,2556.1,688,,,
20-01-2010,NESTLEIND,2550,2575,2540,2542.5,641,,,
21-01-2010,NESTLEIND,2539.9,2569,2499.9,2526.2,831,,,
22-01-2010,NESTLEIND,2500,2530,2478,2529,681,,,
25-01-2010,NESTLEIND,2665.35,2665.35,2510,2522.25,1955,,,
27-01-2010,NESTLEIND,2570,2574.9,2498.6,2566.9,5302,,,
28-01-2010,NESTLEIND,2568,2610,2535.5,2586.85,1048,,,
29-01-2010,NESTLEIND,2526,2580,2526,2533,787,,,
01-02-2010,NESTLEIND,2599.95,2599.95,2515.1,2532.2,614,,,
02-02-2010,NESTLEIND,2599.1,2599.1,2540,2560.1,831,,,
03-02-2010,NESTLEIND,2588,2600,2556,2564.6,8681,,,
04-02-2010,NESTLEIND,2548,2583.8,2548,2568.35,442,,,
05-02-2010,NESTLEIND,2582,2582,2442,2549.1,1651,,,
06-02-2010,NESTLEIND,2455,2572.9,2455,2566.4,33,,,
08-02-2010,NESTLEIND,2570,2672,2570,2645.5,8181,,,
09-02-2010,NESTLEIND,2600.1,2824,2600.1,2792.6,8861,,,
10-02-2010,NESTLEIND,2802,3244,2738.6,2750.2,44699,,,
11-02-2010,NESTLEIND,2819,2819,2726.1,2737.25,31881,,,
15-02-2010,NESTLEIND,2815,2815,2614,2719.25,4504,,,
16-02-2010,NESTLEIND,2792,2814.7,2697.05,2701.85,6120,,,
17-02-2010,NESTLEIND,2705.15,2743,2681.4,2688.75,9981,,,
18-02-2010,NESTLEIND,2688.75,2710,2645,2651.5,2203,,,
19-02-2010,NESTLEIND,2650,2685,2628,2640.15,7495,,,
22-02-2010,NESTLEIND,2625.05,2649,2560,2584.9,14820,,,
23-02-2010,NESTLEIND,2570,2590,2551,2552.2,3070,,,
24-02-2010,NESTLEIND,2550,2590,2540,2574.7,9918,,,
25-02-2010,NESTLEIND,2580,2600,2552.1,2559.6,4264,,,
26-02-2010,NESTLEIND,2526.1,2650,2526.1,2626.9,4239,,,
02-03-2010,NESTLEIND,2620,2645,2600,2625.45,3343,,,
03-03-2010,NESTLEIND,2630,2640,2604.65,2629.15,2339,,,
04-03-2010,NESTLEIND,2610,2650,2610,2634,4796,,,
05-03-2010,NESTLEIND,2670,2719.8,2670,2701.15,14392,,,
08-03-2010,NESTLEIND,2730,2750,2692.25,2725.95,9767,,,
09-03-2010,NESTLEIND,2700,2751,2700,2745.2,4212,,,
10-03-2010,NESTLEIND,2721,2765,2721,2739.95,8386,,,
11-03-2010,NESTLEIND,2725,2740,2695,2732.75,27712,,,
12-03-2010,NESTLEIND,2825,2825,2690,2715.45,19872,,,
15-03-2010,NESTLEIND,2731,2757,2704.1,2744.8,2980,,,
16-03-2010,NESTLEIND,2735.6,2736,2660,2672.35,9216,,,
17-03-2010,NESTLEIND,2690,2690,2655,2678.55,2149,,,
18-03-2010,NESTLEIND,2698,2698,2658.05,2668.05,6485,,,
19-03-2010,NESTLEIND,2689.75,2689.75,2621,2646.35,11167,,,
22-03-2010,NESTLEIND,2650,2659.8,2611.5,2634.7,21885,,,
23-03-2010,NESTLEIND,2641.2,2661,2635,2653.85,2990,,,
25-03-2010,NESTLEIND,2660,2665,2610,2648.35,8068,,,
26-03-2010,NESTLEIND,2632.1,2719.95,2632.1,2687.4,22900,,,
29-03-2010,NESTLEIND,2670,2800,2643,2712.9,7730,,,
30-03-2010,NESTLEIND,2711,2730,2643.1,2670.65,9235,,,
31-03-2010,NESTLEIND,2750,2751,2600,2670.6,16964,,,
01-04-2010,NESTLEIND,2665.65,2735,2635,2709.5,20334,,,
05-04-2010,NESTLEIND,2750,2750,2699.1,2719.1,13077,,,
06-04-2010,NESTLEIND,2715.1,2831,2705,2760.15,32846,,,
07-04-2010,NESTLEIND,2750,2770,2712.2,2751.15,3657,,,
08-04-2010,NESTLEIND,2716,2750,2675.05,2718.55,108603,,,
09-04-2010,NESTLEIND,2695.3,2724.8,2691,2700.95,3248,,,
12-04-2010,NESTLEIND,2727.65,2730,2659.2,2694.85,5090,,,
13-04-2010,NESTLEIND,2680,2725,2660,2714.55,8135,,,
15-04-2010,NESTLEIND,2722.5,2760,2681,2747.75,4672,,,
16-04-2010,NESTLEIND,2720,2775,2711,2747.15,4681,,,
19-04-2010,NESTLEIND,2745,2809.9,2713.25,2760.95,7606,,,
20-04-2010,NESTLEIND,2740.1,2808.5,2740.1,2773.25,37732,,,
21-04-2010,NESTLEIND,2751,2840,2751,2813,9344,,,
22-04-2010,NESTLEIND,2850,2994,2762,2877.4,41088,,,
23-04-2010,NESTLEIND,2295,2850,2295,2722.1,85414,,,
26-04-2010,NESTLEIND,2701.2,2780,2700.8,2755.6,24239,,,
27-04-2010,NESTLEIND,2770,2798,2750,2793.65,20373,,,
28-04-2010,NESTLEIND,2755.1,2805,2755.1,2799.55,103864,,,
29-04-2010,NESTLEIND,2799.55,2810,2770.25,2789.65,3186,,,
30-04-2010,NESTLEIND,2820,2820,2751,2763.1,70882,,,
03-05-2010,NESTLEIND,2735,2786,2735,2750.65,81877,,,
04-05-2010,NESTLEIND,2750,2775,2723,2751.35,4674,,,
05-05-2010,NESTLEIND,2724,2770,2724,2754.3,14124,,,
06-05-2010,NESTLEIND,2741.1,2759.9,2740.1,2754.2,3566,,,
07-05-2010,NESTLEIND,2741,2774.95,2720.15,2731.55,37579,,,
10-05-2010,NESTLEIND,2769.6,2834.95,2725.7,2794.55,177339,,,
11-05-2010,NESTLEIND,2796.8,2796.8,2745,2747.6,2376,,,
12-05-2010,NESTLEIND,2710,2795,2710,2790.45,2315,,,
13-05-2010,NESTLEIND,2800,2830,2761.8,2790.45,7755,,,
14-05-2010,NESTLEIND,2763,2819.4,2763,2806.6,7030,,,
17-05-2010,NESTLEIND,2828.95,2860,2790,2852.95,5205,,,
18-05-2010,NESTLEIND,2866.3,2957.8,2850,2948.6,11975,,,
19-05-2010,NESTLEIND,2915,2964.5,2897,2945.65,11104,,,
20-05-2010,NESTLEIND,2905.3,2945,2850,2893.85,23083,,,
21-05-2010,NESTLEIND,2880,2924,2670.1,2788.1,28256,,,
24-05-2010,NESTLEIND,2848,2935,2802,2903.2,7809,,,
25-05-2010,NESTLEIND,2872,2900,2751,2777.1,5329,,,
26-05-2010,NESTLEIND,2822,2825,2795.1,2809.95,12312,,,
27-05-2010,NESTLEIND,2824,2850,2762.1,2836.35,2569,,,
28-05-2010,NESTLEIND,2849,2890,2843,2860.65,10678,,,
31-05-2010,NESTLEIND,2870,2940,2850,2879.2,8318,,,
01-06-2010,NESTLEIND,2930,2930,2844.4,2855.4,8078,,,
02-06-2010,NESTLEIND,2885.8,2911,2790,2837.6,165739,,,
03-06-2010,NESTLEIND,2948,2948,2800,2807.1,9976,,,
04-06-2010,NESTLEIND,2810,2840,2795,2810.3,7972,,,
07-06-2010,NESTLEIND,2810.3,2839.8,2775,2796.8,4549,,,
08-06-2010,NESTLEIND,2804.3,2845,2800,2821.25,121330,,,
09-06-2010,NESTLEIND,2835,2869,2793.05,2861.85,4667,,,
10-06-2010,NESTLEIND,2827,2900,2827,2892.1,2766,,,
11-06-2010,NESTLEIND,2906.8,2906.8,2871.1,2897.7,8908,,,
14-06-2010,NESTLEIND,2925,2925,2875,2904.6,2040,,,
15-06-2010,NESTLEIND,2887,2915,2887,2908.4,2069,,,
16-06-2010,NESTLEIND,2928.3,2938.3,2906,2928.65,2709,,,
17-06-2010,NESTLEIND,2925,2925,2890.05,2916.25,2214,,,
18-06-2010,NESTLEIND,2927.65,2983.3,2904.6,2951.9,6429,,,
21-06-2010,NESTLEIND,2945,3064,2943.05,2996.8,12661,,,
22-06-2010,NESTLEIND,2872.6,2973,2872.6,2911.85,8260,,,
23-06-2010,NESTLEIND,2913,2980.45,2885,2899.2,36713,,,
24-06-2010,NESTLEIND,2945,2950,2907.05,2939.4,6216,,,
25-06-2010,NESTLEIND,2910.05,2947.95,2905,2907.55,2090,,,
28-06-2010,NESTLEIND,2949,2949,2885,2907.4,5672,,,
29-06-2010,NESTLEIND,2907,2915,2888,2897.85,19808,,,
30-06-2010,NESTLEIND,2897,2949.95,2852.75,2879.55,115279,,,
01-07-2010,NESTLEIND,2895,2974.7,2894,2942.9,7854,,,
02-07-2010,NESTLEIND,2943,2990,2905,2978.5,6474,,,
05-07-2010,NESTLEIND,2956,3125,2950,3084.8,24078,,,
06-07-2010,NESTLEIND,3085,3119.95,3072,3091.05,16725,,,
07-07-2010,NESTLEIND,3089.8,3089.8,3021,3033.95,3734,,,
08-07-2010,NESTLEIND,3066,3092,3041,3047.7,5845,,,
09-07-2010,NESTLEIND,3074.5,3074.7,2977.6,2984,11188,,,
12-07-2010,NESTLEIND,3300,3300,2980,2994.9,2926,,,
13-07-2010,NESTLEIND,2994.9,3039,2962,2985.05,10651,,,
14-07-2010,NESTLEIND,2953,3020,2953,2989.55,7359,,,
15-07-2010,NESTLEIND,3002.95,3002.95,2960,2977.25,4156,,,
16-07-2010,NESTLEIND,2978,3067,2965,3022.9,26706,,,
19-07-2010,NESTLEIND,3085,3085,2987.1,2992.15,9316,,,
20-07-2010,NESTLEIND,3016,3016,2985,2999.75,2986,,,
21-07-2010,NESTLEIND,2985,3019.65,2945,2951.1,7766,,,
22-07-2010,NESTLEIND,2987.6,2987.6,2942,2949.9,3466,,,
23-07-2010,NESTLEIND,2969,2976.05,2940,2952.75,6664,,,
26-07-2010,NESTLEIND,2944,3024.85,2931,3007.6,7893,,,
27-07-2010,NESTLEIND,2981,3005,2955,2992.65,4554,,,
28-07-2010,NESTLEIND,3000,3001,2950,2961.1,4805,,,
29-07-2010,NESTLEIND,3027.55,3027.55,2950,2965.5,5144,,,
30-07-2010,NESTLEIND,2970,3033.3,2960.5,3020.65,15480,,,
02-08-2010,NESTLEIND,3040,3040,3007.2,3022.8,3671,,,
03-08-2010,NESTLEIND,3040,3085,2956.6,2962.95,8654,,,
04-08-2010,NESTLEIND,2999.9,3020,2900,2907.1,12561,,,
05-08-2010,NESTLEIND,2930,2940,2765,2798.3,35921,,,
06-08-2010,NESTLEIND,2816,2830,2750.1,2769.9,85524,,,
09-08-2010,NESTLEIND,2775,2830,2769.95,2790.8,21872,,,
10-08-2010,NESTLEIND,2801.95,2840,2791.85,2818.7,10540,,,
11-08-2010,NESTLEIND,2825.55,2852,2775.55,2828.1,17058,,,
12-08-2010,NESTLEIND,2839.9,2846,2800,2830.8,43064,,,
13-08-2010,NESTLEIND,2810,2840,2792,2800.4,60853,,,
16-08-2010,NESTLEIND,2772.35,2827.9,2750,2763.95,11436,,,
17-08-2010,NESTLEIND,2755.3,2782.5,2701,2727.15,28193,,,
18-08-2010,NESTLEIND,2738,2795,2730.3,2753.35,16295,,,
19-08-2010,NESTLEIND,2755.1,2833.05,2755.1,2816.5,10641,,,
20-08-2010,NESTLEIND,2776,2915,2776,2879.95,123051,,,
23-08-2010,NESTLEIND,2851,2928,2851,2910.3,177521,,,
24-08-2010,NESTLEIND,2909.95,2990,2902,2947.05,6949,,,
25-08-2010,NESTLEIND,2916,3000,2865,2966.95,13955,,,
26-08-2010,NESTLEIND,2984,3100,2981,3077.6,84591,,,
27-08-2010,NESTLEIND,3087,3098.8,3051,3061.7,44864,,,
30-08-2010,NESTLEIND,3099.95,3200,3065.1,3106.8,24605,,,
31-08-2010,NESTLEIND,3100,3100,3015,3078.8,28886,,,
01-09-2010,NESTLEIND,3080,3120,3050,3069.1,31311,,,
02-09-2010,NESTLEIND,3120,3237,3050.05,3129.55,474245,,,
03-09-2010,NESTLEIND,3140,3194,3125,3178.25,14176,,,
06-09-2010,NESTLEIND,3190,3250,3180,3207.6,27873,,,
07-09-2010,NESTLEIND,3207,3224.95,3191,3204.3,9507,,,
08-09-2010,NESTLEIND,3205,3247.55,3180,3209.05,13574,,,
09-09-2010,NESTLEIND,3200,3200,3133.25,3170.05,205913,,,
13-09-2010,NESTLEIND,3190,3202.8,3155.05,3182.7,6721,,,
14-09-2010,NESTLEIND,3189.9,3230,3155.25,3203.9,11995,,,
15-09-2010,NESTLEIND,3221.15,3221.15,3147,3156.9,24323,,,
16-09-2010,NESTLEIND,3165,3259,3141,3190.75,22303,,,
17-09-2010,NESTLEIND,3180,3300,3162,3263.3,133266,,,
20-09-2010,NESTLEIND,3265,3310,3205.55,3269.6,38322,,,
21-09-2010,NESTLEIND,3269.6,3334,3260,3308.55,17797,,,
22-09-2010,NESTLEIND,3270,3313.95,3228,3295,19232,,,
23-09-2010,NESTLEIND,3305,3310,3245,3257.65,11305,,,
24-09-2010,NESTLEIND,3257.65,3324.6,3257.65,3313.25,93158,,,
27-09-2010,NESTLEIND,3317,3371,3270,3338,14146,,,
28-09-2010,NESTLEIND,3352,3352,3316.2,3349.05,13857,,,
29-09-2010,NESTLEIND,3326.05,3351,3301,3340.8,10116,,,
30-09-2010,NESTLEIND,3332.9,3399,3270.65,3382.15,14539,,,
01-10-2010,NESTLEIND,3351,3370,3341,3360.5,3678,,,
04-10-2010,NESTLEIND,3380,3384.9,3300.1,3311.9,9495,,,
05-10-2010,NESTLEIND,3311.9,3311.9,3255.7,3269.45,9666,,,
06-10-2010,NESTLEIND,3280.15,3280.15,3181.1,3197.6,12884,,,
07-10-2010,NESTLEIND,3197.6,3275.05,3190,3209.85,15687,,,
08-10-2010,NESTLEIND,3220,3269,3196.5,3251.35,111410,,,
11-10-2010,NESTLEIND,3224,3264,3206,3219.65,4311,,,
12-10-2010,NESTLEIND,3224.9,3330,3192,3299.05,12717,,,
13-10-2010,NESTLEIND,3299,3325,3277.05,3304.8,441179,,,
14-10-2010,NESTLEIND,3300,3333,3251,3261.45,14729,,,
15-10-2010,NESTLEIND,3252.1,3284.95,3170,3198,6568,,,
18-10-2010,NESTLEIND,3182,3215.6,3125,3208.05,16439,,,
19-10-2010,NESTLEIND,3188.9,3390,3179.9,3314.55,53746,,,
20-10-2010,NESTLEIND,3280,3332.8,3260,3312.1,9339,,,
21-10-2010,NESTLEIND,3301,3421.5,3301,3405.25,14653,,,
22-10-2010,NESTLEIND,3410,3425,3393,3403.85,9885,,,
25-10-2010,NESTLEIND,3419,3483,3419,3442.7,9607,,,
26-10-2010,NESTLEIND,3447.95,3485,3392,3449.3,18085,,,
27-10-2010,NESTLEIND,3458.9,3499.85,3380,3398.65,18354,,,
28-10-2010,NESTLEIND,3430,3476.5,3415.2,3463.15,52398,,,
29-10-2010,NESTLEIND,3465,3540,3415,3484.45,28041,,,
01-11-2010,NESTLEIND,3484.45,3590,3440,3550.4,24368,,,
02-11-2010,NESTLEIND,3549.95,3597.3,3521.5,3552.6,22321,,,
03-11-2010,NESTLEIND,3553.5,3625,3550.15,3609.95,16152,,,
04-11-2010,NESTLEIND,3608,3683,3600,3649.25,10104,,,
05-11-2010,NESTLEIND,3650,3694.9,3650,3661,801,,,
08-11-2010,NESTLEIND,3600,3838,3600,3732,23029,,,
09-11-2010,NESTLEIND,3742,4224,3742,4002.35,212070,,,
10-11-2010,NESTLEIND,4050,4050,3825,3858.6,47460,,,
11-11-2010,NESTLEIND,3867.5,3920,3775,3800.2,189396,,,
12-11-2010,NESTLEIND,3802,3850,3800,3830.15,11730,,,
15-11-2010,NESTLEIND,3850,3978.7,3801.05,3901.6,19024,,,
16-11-2010,NESTLEIND,3950,3950,3835.1,3896.6,17219,,,
18-11-2010,NESTLEIND,3939.7,3939.7,3705,3762.3,36071,,,
19-11-2010,NESTLEIND,3810,3815,3600,3624.85,33131,,,
22-11-2010,NESTLEIND,3648,3770,3643,3707.9,13356,,,
23-11-2010,NESTLEIND,3700,3745,3609.95,3690.95,25608,,,
24-11-2010,NESTLEIND,3691.05,3821,3691.05,3792.8,13471,,,
25-11-2010,NESTLEIND,3800,3870,3690,3761.15,8714,,,
26-11-2010,NESTLEIND,3725,3799.9,3501,3561.5,118760,,,
29-11-2010,NESTLEIND,3600,3679,3501.05,3566.25,20816,,,
30-11-2010,NESTLEIND,3531,3650,3531,3625.35,47473,,,
01-12-2010,NESTLEIND,3625.35,3690,3550,3568.05,12409,,,
02-12-2010,NESTLEIND,3609,3680,3599.9,3646.2,87053,,,
03-12-2010,NESTLEIND,3645,3718.45,3645,3671.1,22952,,,
06-12-2010,NESTLEIND,3699.9,3767,3675,3745.7,22808,,,
07-12-2010,NESTLEIND,3742,3767.8,3707.05,3739.65,12752,,,
08-12-2010,NESTLEIND,3745,3779.95,3702.25,3741.5,14008,,,
09-12-2010,NESTLEIND,3769,3778.9,3686.2,3718.3,8437,,,
10-12-2010,NESTLEIND,3711,3806.1,3670.1,3785.8,7417,,,
13-12-2010,NESTLEIND,3840,3920,3780,3885.75,16785,,,
14-12-2010,NESTLEIND,3849.05,3899,3775,3779.9,11401,,,
15-12-2010,NESTLEIND,3799,3834,3565.25,3614.85,34679,,,
16-12-2010,NESTLEIND,3695,3695,3549,3566.6,27047,,,
20-12-2010,NESTLEIND,3566.6,3615,3552,3567.85,18154,,,
21-12-2010,NESTLEIND,3597,3627.85,3582,3610.65,6131,,,
22-12-2010,NESTLEIND,3587.6,3699,3565,3668.65,6481,,,
23-12-2010,NESTLEIND,3616,3690,3616,3679.8,2558,,,
24-12-2010,NESTLEIND,3626,3689.5,3606.2,3676.35,4658,,,
27-12-2010,NESTLEIND,3677,3698.95,3652.25,3686.4,3151,,,
28-12-2010,NESTLEIND,3676.5,3685,3660,3663.95,8300,,,
29-12-2010,NESTLEIND,3680,3690,3650,3663.7,4046,,,
30-12-2010,NESTLEIND,3683.85,3754.9,3660,3741.55,5044,,,
31-12-2010,NESTLEIND,3759,3859,3731.2,3813.75,10274,,,
03-01-2011,NESTLEIND,3838.7,3861,3800,3835.85,5256,,,
04-01-2011,NESTLEIND,3835,3899.9,3800,3891.6,21916,,,
05-01-2011,NESTLEIND,3874,3934.95,3856.5,3900.95,32381,,,
06-01-2011,NESTLEIND,3900,3949,3805,3833.8,16829,,,
07-01-2011,NESTLEIND,3810,3870,3772,3789.95,30854,,,
10-01-2011,NESTLEIND,3789,3819.9,3771,3789.5,8894,,,
11-01-2011,NESTLEIND,3780,3918,3770,3811,23416,,,
12-01-2011,NESTLEIND,3829.5,3896,3790,3810.4,16802,,,
13-01-2011,NESTLEIND,3829.9,3859.9,3710.8,3762.4,22291,,,
14-01-2011,NESTLEIND,3779,3789.95,3680,3725.5,7708,,,
17-01-2011,NESTLEIND,3739,3763,3652.1,3684.65,9343,,,
18-01-2011,NESTLEIND,3693,3717,3635,3649.1,9489,,,
19-01-2011,NESTLEIND,3652,3666,3637,3650.65,5313,,,
20-01-2011,NESTLEIND,3659.9,3708.55,3646,3683.8,13488,,,
21-01-2011,NESTLEIND,3680,3700,3591.5,3610.35,8709,,,
24-01-2011,NESTLEIND,3589,3685,3417,3664.65,10850,,,
25-01-2011,NESTLEIND,3655.05,3706,3612.4,3632.15,5823,,,
27-01-2011,NESTLEIND,3669,3669,3530.2,3549.45,12167,,,
28-01-2011,NESTLEIND,3550,3559.9,3464,3492.6,18551,,,
31-01-2011,NESTLEIND,3497,3497,3311.2,3327.55,34824,,,
01-02-2011,NESTLEIND,3337,3384.7,3165.2,3240.85,27525,,,
02-02-2011,NESTLEIND,3264.95,3284.1,3236,3256.95,62661,,,
03-02-2011,NESTLEIND,3250,3260,3171.8,3251.2,19996,,,
04-02-2011,NESTLEIND,3299.95,3325,3201,3247.3,15035,,,
07-02-2011,NESTLEIND,3230,3337.8,3200,3326,11479,,,
08-02-2011,NESTLEIND,3327,3347.85,3252,3266.8,5832,,,
09-02-2011,NESTLEIND,3250,3267,3178.5,3200.85,23311,,,
10-02-2011,NESTLEIND,3200.85,3240,3162.25,3215.65,5494,,,
11-02-2011,NESTLEIND,3200,3340,3191,3218.05,32487,,,
14-02-2011,NESTLEIND,3280,3399,3280,3380.95,8482,,,
15-02-2011,NESTLEIND,3420,3480,3380.95,3392.15,6091,,,
16-02-2011,NESTLEIND,3400,3415.25,3373.15,3391.05,396790,,,
17-02-2011,NESTLEIND,3400,3455,3370,3442.1,8528,,,
18-02-2011,NESTLEIND,3480,3538,3440,3450.55,23078,,,
21-02-2011,NESTLEIND,3500,3650,3400,3462.95,39327,,,
22-02-2011,NESTLEIND,3458.95,3495,3427,3454.9,13563,,,
23-02-2011,NESTLEIND,3469,3490,3441,3479.75,5590,,,
24-02-2011,NESTLEIND,3477.7,3477.7,3440,3448,4815,,,
25-02-2011,NESTLEIND,3456,3555,3448.15,3540.3,21826,,,
28-02-2011,NESTLEIND,3599.9,3599.9,3515.75,3548.7,8123,,,
01-03-2011,NESTLEIND,3563,3603,3541.05,3572.7,6524,,,
03-03-2011,NESTLEIND,3572.7,3615,3551,3578.65,10093,,,
04-03-2011,NESTLEIND,3620,3685,3575,3670.3,16895,,,
07-03-2011,NESTLEIND,3650,3778.95,3562.35,3748.75,39096,,,
08-03-2011,NESTLEIND,3748,3835,3748,3804.7,63651,,,
09-03-2011,NESTLEIND,3790,3996,3751.5,3964.65,40299,,,
10-03-2011,NESTLEIND,3870.3,3964.65,3870.3,3938.25,7303,,,
11-03-2011,NESTLEIND,3761.05,3940,3761.05,3870.2,10841,,,
14-03-2011,NESTLEIND,3875,3930,3841,3859.8,4070,,,
15-03-2011,NESTLEIND,3790,3833,3752.2,3783.55,7669,,,
16-03-2011,NESTLEIND,3840,3874.7,3681,3694.7,11029,,,
17-03-2011,NESTLEIND,3750,3750,3541.55,3564.4,49420,,,
18-03-2011,NESTLEIND,3550.05,3600,3501.3,3532.25,78390,,,
21-03-2011,NESTLEIND,3550,3634.85,3520,3594.45,8818,,,
22-03-2011,NESTLEIND,3594.45,3634.95,3575.45,3588.8,7723,,,
23-03-2011,NESTLEIND,3564,3645,3564,3629.8,6990,,,
24-03-2011,NESTLEIND,3649,3690,3640,3655.45,6004,,,
25-03-2011,NESTLEIND,3655,3725.95,3655,3689.1,14931,,,
28-03-2011,NESTLEIND,3690,3720,3685,3697.35,2984,,,
29-03-2011,NESTLEIND,3690,3708,3671,3682.05,20213,,,
30-03-2011,NESTLEIND,3699,3717,3635,3668.6,10269,,,
31-03-2011,NESTLEIND,3679,3745,3640,3696.55,36461,,,
01-04-2011,NESTLEIND,3748,3748,3651,3679.6,13367,,,
04-04-2011,NESTLEIND,3681,3690,3652.05,3682.05,14235,,,
05-04-2011,NESTLEIND,3655.65,3705,3655.65,3685,20133,,,
06-04-2011,NESTLEIND,3698.9,3720,3690,3702.05,244855,,,
07-04-2011,NESTLEIND,3705,3740.1,3700,3709.15,85452,,,
08-04-2011,NESTLEIND,3730,3800,3701.05,3707.6,149123,,,
11-04-2011,NESTLEIND,3718.65,3745,3705,3710.55,8943,,,
13-04-2011,NESTLEIND,3700,3762,3670,3737.8,16705,,,
15-04-2011,NESTLEIND,3759.9,3759.9,3702.1,3721.5,9950,,,
18-04-2011,NESTLEIND,3737,3763,3707,3724.55,10037,,,
19-04-2011,NESTLEIND,3740,3745,3705,3729.6,9404,,,
20-04-2011,NESTLEIND,3741.9,3800,3717.15,3749.6,28966,,,
21-04-2011,NESTLEIND,3801,3843.9,3769.95,3827.6,18825,,,
25-04-2011,NESTLEIND,3829,3964.95,3792,3916.25,18654,,,
26-04-2011,NESTLEIND,3950,3959,3836.65,3894.6,8279,,,
27-04-2011,NESTLEIND,3939,3950,3839,3945.35,10022,,,
28-04-2011,NESTLEIND,3940.05,3959,3882.05,3925.5,7466,,,
29-04-2011,NESTLEIND,3885,4050,3885,3992.9,71310,,,
02-05-2011,NESTLEIND,4012,4012,3910.05,3950.35,8252,,,
03-05-2011,NESTLEIND,3960,4024.9,3850.4,4011.65,12583,,,
04-05-2011,NESTLEIND,4008.9,4074,4000,4052.25,16928,,,
