Date,Symbol,Open,High,Low,Close,Volume,,,
09-07-2003,MARUTI,164.9,170.4,155,164.3,35164283,,,
10-07-2003,MARUTI,167,168.7,164.5,167,10464179,,,
11-07-2003,MARUTI,167.75,174.85,166.25,173.35,11740117,,,9996.4
14-07-2003,MARUTI,174.25,179.25,174.25,177.95,5982324,,,
15-07-2003,MARUTI,200,200,173,176.2,6173689,,,
16-07-2003,MARUTI,176.45,179.1,175.35,177.1,3759085,,,
17-07-2003,MARUTI,177.5,178,170.65,172.2,3814181,,,
18-07-2003,MARUTI,165,171.9,160,167.4,5375212,,,
21-07-2003,MARUTI,169,169.4,163.05,164.9,3315845,,,
22-07-2003,MARUTI,164,169.15,162.1,167.25,4627992,,,
23-07-2003,MARUTI,170.5,178,169.8,174.7,13262249,,,
24-07-2003,MARUTI,175.9,177,172.85,174.1,4305936,,,
25-07-2003,MARUTI,174.4,175,172.1,173.65,2832967,,,
28-07-2003,MARUTI,188,188,175.1,178.85,5415867,,,
29-07-2003,MARUTI,179.95,182.9,179.1,180.3,5229181,,,
30-07-2003,MARUTI,181.25,184.75,180.1,181.1,4632246,,,
31-07-2003,MARUTI,181.7,183.65,179.65,180.85,3562717,,,
01-08-2003,MARUTI,182,189,178.75,187.15,8027285,,,
04-08-2003,MARUTI,187.85,198.5,185,197.6,9982429,,,
05-08-2003,MARUTI,199,203.45,192.85,193.6,9651327,,,
06-08-2003,MARUTI,191.5,197.5,189.85,191.6,7451054,,,
07-08-2003,MARUTI,193.5,196,192.25,195.4,3223676,,,
08-08-2003,MARUTI,197,198.9,196,197.15,2530289,,,
11-08-2003,MARUTI,198.1,203.8,196,202.2,5651311,,,
12-08-2003,MARUTI,203.8,212,203.5,210.45,8215213,,,
13-08-2003,MARUTI,213,219.5,212,217.8,7839204,,,
14-08-2003,MARUTI,223,224.4,215,216.55,6298655,,,
18-08-2003,MARUTI,218.1,221,215.4,216.9,3382031,,,
19-08-2003,MARUTI,219.85,219.9,215,215.65,3080091,,,
