Date,Symbol,Open,High,Low,Close,Volume,,
24-08-2004,ULTRACEMCO,305,340,253.25,260.2,6633956,,
25-08-2004,ULTRACEMCO,262,264.7,249.2,255.55,2794161,,
26-08-2004,ULTRACEMCO,257.75,272.5,256,270.7,2340926,,
27-08-2004,ULTRACEMCO,272,272.55,260.65,262.25,915106,,7055.95
30-08-2004,ULTRACEMCO,263.7,269,262.05,266.1,387417,,
31-08-2004,ULTRACEMCO,266.8,267.8,264.3,266.2,261123,,
01-09-2004,ULTRACEMCO,267,273.45,265,267.2,311985,,
02-09-2004,ULTRACEMCO,267.85,269.5,260,262.2,205537,,
03-09-2004,ULTRACEMCO,262.2,264.9,257.5,262.65,303156,,
06-09-2004,ULTRACEMCO,263.5,267.85,263,265.3,74691,,
07-09-2004,ULTRACEMCO,264,265.8,263.55,264.85,128275,,
08-09-2004,ULTRACEMCO,266,266,262.6,263.45,95094,,
09-09-2004,ULTRACEMCO,264.5,265,254.8,256,229786,,
10-09-2004,ULTRACEMCO,256.9,264.4,254.35,258.6,313469,,
13-09-2004,ULTRACEMCO,256,262.15,256,260.65,100186,,
14-09-2004,ULTRACEMCO,261,263.5,259,261.1,87282,,
15-09-2004,ULTRACEMCO,262.7,266.95,261.5,263.9,179209,,
16-09-2004,ULTRACEMCO,264,266.7,261,265.6,113885,,
17-09-2004,ULTRACEMCO,267,274.45,266.1,271,193931,,
20-09-2004,ULTRACEMCO,272,283,272,277.35,447036,,
21-09-2004,ULTRACEMCO,280,281.8,275,276.3,317565,,
22-09-2004,ULTRACEMCO,281.5,281.95,275.05,279.25,142156,,
23-09-2004,ULTRACEMCO,273,279,268.8,269.9,71981,,
24-09-2004,ULTRACEMCO,269.5,273,267.1,270.8,64135,,
27-09-2004,ULTRACEMCO,271.5,273.9,269.3,272.8,43976,,
28-09-2004,ULTRACEMCO,272.8,272.8,263.6,265.7,116744,,
29-09-2004,ULTRACEMCO,266.9,267.5,262.65,264.45,84483,,
30-09-2004,ULTRACEMCO,266.4,268.75,264.95,266.05,45563,,
01-10-2004,ULTRACEMCO,266,268,264,265.25,59466,,
04-10-2004,ULTRACEMCO,268.8,270.9,263,269.05,173799,,
05-10-2004,ULTRACEMCO,269,271,264,265.25,74731,,
06-10-2004,ULTRACEMCO,266.5,298.9,266.5,295,1072401,,
07-10-2004,ULTRACEMCO,295,354,294,316.45,2122276,,
08-10-2004,ULTRACEMCO,318.1,331.35,316.45,320.4,599337,,
09-10-2004,ULTRACEMCO,321.4,322,314,315.65,90585,,
11-10-2004,ULTRACEMCO,315,318.6,301.25,304.7,121262,,
12-10-2004,ULTRACEMCO,307,311,298.1,300.15,146878,,
14-10-2004,ULTRACEMCO,303.7,303.7,286.55,289.1,89146,,
15-10-2004,ULTRACEMCO,294.8,299.8,288,290.7,115264,,
18-10-2004,ULTRACEMCO,293.9,295,285,286.8,59350,,
19-10-2004,ULTRACEMCO,291.4,291.4,282.6,285.6,72458,,
20-10-2004,ULTRACEMCO,288.4,292.3,285.5,286.55,95374,,
21-10-2004,ULTRACEMCO,288.4,296.5,285,292.25,81976,,
25-10-2004,ULTRACEMCO,295.5,305.3,284.6,286.35,215408,,
26-10-2004,ULTRACEMCO,289.9,294.8,281.55,289.5,105215,,
27-10-2004,ULTRACEMCO,285,313.9,285,299.15,656655,,
28-10-2004,ULTRACEMCO,301,311,297,306.6,326585,,
29-10-2004,ULTRACEMCO,302.2,306.75,301,303.25,76737,,
01-11-2004,ULTRACEMCO,305,305,289,301.3,190801,,
02-11-2004,ULTRACEMCO,306,310,302,306.9,109175,,
03-11-2004,ULTRACEMCO,307.5,310,303,305.15,93238,,
04-11-2004,ULTRACEMCO,308.8,308.8,299,300,32815,,
05-11-2004,ULTRACEMCO,303,303,290,292.35,61849,,
08-11-2004,ULTRACEMCO,297.4,302,290.25,292.5,80765,,
09-11-2004,ULTRACEMCO,296.4,300,293.3,295.55,48772,,
10-11-2004,ULTRACEMCO,298,298.8,291.5,292.5,107489,,
11-11-2004,ULTRACEMCO,293.6,296.4,286.55,287.95,131265,,
12-11-2004,ULTRACEMCO,292.9,293.4,289.15,291.5,29798,,
16-11-2004,ULTRACEMCO,293.65,294.95,289,294.05,48466,,
17-11-2004,ULTRACEMCO,296,296,283,283.85,222899,,
18-11-2004,ULTRACEMCO,285,288.75,283.1,284.3,95728,,
19-11-2004,ULTRACEMCO,286.7,287,280.5,282.15,116142,,
22-11-2004,ULTRACEMCO,283,284,278.3,278.9,112962,,
23-11-2004,ULTRACEMCO,285,285,276,277.7,193928,,
24-11-2004,ULTRACEMCO,281.8,287,280.4,285.45,345777,,
25-11-2004,ULTRACEMCO,294.6,299.85,289.5,294.8,397748,,
29-11-2004,ULTRACEMCO,295,299.8,295,297.6,146544,,
30-11-2004,ULTRACEMCO,298.95,298.95,294,295.2,172784,,
01-12-2004,ULTRACEMCO,296,297.85,295,295.55,85290,,
02-12-2004,ULTRACEMCO,297,305,296,302.35,317401,,
03-12-2004,ULTRACEMCO,305.55,306.6,295,295.75,339368,,
